Hora;Anemometro;Pluviometro;Veleta;temperatura;Humedad;Particulas;gas;presion;UV;dB
16:00;0;0;N;30;10;0;0;1050;2;25
16:02;20;10;NO;35;5;2;0;1052;4;26
16:04;0;10;NO;35;5;2;0;1052;4;26
16:06;0;0;S;20;20;0;1;1045;7;40
16:08;0;20;S;25;15;1;1;1056;8;60
16:10;0;10;NO;35;5;2;0;1052;4;26
16:12;90;0;N;30;10;0;0;1050;2;25
16:14;0;10;NO;35;5;2;0;1052;4;26
16:16;0;0;S;20;35;0;0;1040;2;45
16:18;0;0;S;20;21;2;0;1000;2;74
16:20;0;0;N;30;10;0;0;1050;2;25
16:22;0;0;S;30;10;3;1;1050;1;68
16:24;10;0;E;35;5;5;1;1052;0;20
16:26;0;0;NO;35;5;2;0;1052;4;26
16:28;0;0;E;20;20;0;1;1045;2;15
16:30;0;25;E;25;15;0;0;1056;4;5
16:32;0;0;E;35;5;0;0;1052;4;36
16:34;0;0;N;30;10;0;0;1050;7;25
16:36;0;0;O;35;5;0;2;1052;8;58
16:38;0;10;NO;20;35;2;0;1040;4;26
16:40;0;0;O;20;21;0;3;1000;2;25
16:42;0;0;O;30;10;2;2;1050;4;26
16:44;0;0;O;30;10;2;0;1050;2;26
16:46;150;0;N;35;5;0;0;1052;2;40
16:48;35;0;O;35;5;1;0;1052;2;60
16:50;0;0;O;20;20;2;0;1045;1;26
16:52;0;0;SO;25;15;0;0;1056;0;25
16:54;0;0;SO;35;5;2;0;1052;4;26
16:56;0;10;NO;30;10;0;1;1050;2;45
16:58;0;0;SO;35;5;2;1;1052;4;74
17:00;80;0;SO;20;35;0;0;1040;4;25
17:02;0;0;SO;20;21;3;0;1000;7;68
17:04;20;0;N;30;10;5;0;1050;8;20
17:06;0;0;SO;30;10;2;0;1050;4;26
17:08;0;0;SE;35;5;0;0;1052;2;15
17:10;0;0;SE;35;5;0;0;1052;4;5
17:12;0;10;NO;20;20;0;1;1045;2;36
17:14;90;0;SE;25;15;0;1;1056;2;25
17:16;0;10;NO;35;5;0;0;1052;2;58
17:18;0;0;S;30;10;2;1;1050;1;26
17:20;0;0;S;35;5;0;0;1052;0;25
17:22;0;0;S;20;35;2;0;1040;4;26
17:24;0;10;NO;20;21;2;0;1000;2;26
17:26;10;0;N;30;10;0;2;1050;4;40
17:28;0;0;N;30;10;1;0;1050;4;60
17:30;0;0;N;35;5;2;3;1052;7;26
17:32;0;0;N;35;5;0;2;1052;8;25
17:34;0;0;N;20;20;2;0;1045;4;26
17:36;0;10;NO;25;15;0;0;1056;2;45
17:38;0;0;N;35;5;2;0;1052;4;74
17:40;0;0;N;30;10;0;0;1050;2;25
17:42;0;0;S;35;5;3;0;1052;2;68
17:44;0;0;SE;20;35;5;0;1040;2;20
17:46;0;0;E;20;21;2;1;1000;1;26
17:48;15;0;E;30;10;0;1;1050;0;15
17:50;35;0;E;30;10;0;0;1050;4;5
17:52;0;0;E;35;5;0;0;1052;2;36
17:54;0;0;E;35;5;0;0;1052;4;25
17:56;0;0;SE;20;20;0;0;1045;4;58
17:58;0;10;NO;25;15;2;0;1056;7;26
18:00;0;0;SE;35;5;0;0;1052;8;25
18:02;80;0;SO;30;10;2;1;1050;4;26
18:04;0;10;NO;35;5;2;1;1052;2;26
18:06;0;0;SO;20;35;0;0;1040;4;40
18:08;0;0;NO;20;21;1;1;1000;2;60
18:10;90;10;N;30;10;2;0;1050;2;26
18:12;0;0;N;30;10;0;0;1050;2;25
18:14;0;0;S;35;5;2;0;1052;1;26
18:16;0;0;S;35;5;0;2;1052;0;45
18:18;0;0;N;20;20;2;0;1045;4;74
18:20;0;0;N;25;15;0;3;1056;2;25
18:22;10;0;S;35;5;3;2;1052;4;68
18:24;0;10;NO;30;10;5;0;1050;4;20
18:26;0;0;E;35;5;2;0;1052;7;26
18:28;0;0;E;20;35;0;0;1040;8;15
18:30;0;0;N;20;21;0;0;1000;4;5
18:32;0;0;O;30;10;0;0;1050;2;36
18:34;0;0;O;30;10;0;0;1050;4;25
18:36;0;0;O;35;5;0;1;1052;2;58
18:38;0;10;NO;35;5;2;1;1052;2;26
18:40;0;0;N;20;20;0;0;1045;2;25
18:42;0;90;N;25;15;2;0;1056;1;26
18:44;15;0;S;35;5;2;0;1052;0;26
18:46;35;10;NO;30;10;0;0;1050;4;40
18:48;0;70;O;35;5;1;0;1052;2;60
18:50;0;0;O;20;35;2;0;1040;4;26
18:52;0;23;N;20;21;0;1;1000;4;25
18:54;0;0;O;30;10;2;1;1050;7;26
18:56;0;10;NO;30;5;0;0;1052;8;45
18:58;80;34;S;35;16;2;1;1100;4;74
13:24;0.0;0;-;26.8;71.9;0.5;410.7;982.7;0;30.4
13:26;0.0;0;-;26.9;74.3;0.5;415.8;982.7;0;29.5
13:28;0.0;0;-;27.1;73.6;0.5;431.2;982.6;0;30.5
13:32;0.0;0;-;27.5;71.5;0.5;372.4;982.7;0;38.6
13:34;0.0;0;-;27.8;70.7;0.5;376.9;982.7;0;26.2
13:38;0.0;0;-;28.0;69.7;0.5;417.5;982.6;0;31.5
14:8;0.0;0;-;25.8;75.6;0.5;427.9;982.6;0;25.4
14:10;0.0;0;-;26.5;73.8;0.5;443.6;982.5;0;27.2
14:19;0.0;0;-;27.6;70.6;0.5;420.0;982.4;0;30.8
14:21;0.0;0;-;27.9;69.9;0.5;420.0;982.4;0;25.8
14:23;0.0;0;-;28.1;68.6;0.5;415.0;982.4;0;27.8
14:25;0.0;0;-;28.3;68.4;0.5;415.0;982.4;0;27.0
14:27;0.0;0;-;28.4;68.4;0.5;430.0;982.4;0;29.1
14:29;0.0;0;-;28.5;68.1;0.5;425.0;982.3;0;28.7
14:31;0.0;0;-;28.6;67.9;0.5;440.2;982.3;0;26.2
14:33;0.0;0;-;28.7;67.8;0.5;435.1;982.3;0;28.1
14:35;0.0;0;-;28.7;67.5;0.5;455.8;982.3;0;28.2
14:37;0.0;0;-;28.8;67.3;0.5;445.3;982.2;0;30.6
14:39;0.0;0;-;28.8;67.2;0.5;445.3;982.1;0;27.5
14:41;0.0;0;-;28.9;67.1;0.5;445.3;982.1;0;25.7
14:43;0.0;0;-;28.9;66.9;0.5;445.3;982.1;0;27.7
14:45;0.0;0;-;28.9;66.8;0.5;455.8;982.0;0;29.9
14:47;0.0;0;-;29.0;66.7;0.5;455.8;982.1;0;30.7
14:49;0.0;0;-;29.0;66.6;0.5;450.5;982.1;0;27.1
14:51;0.0;0;-;29.0;66.5;0.5;461.0;982.1;0;28.6
14:53;0.0;0;-;29.0;66.4;0.5;461.0;982.0;0;28.1
14:55;0.0;0;-;29.0;66.4;0.5;477.5;982.0;0;29.0
14:57;0.0;0;-;29.0;66.2;0.5;477.5;982.1;0;30.6
14:59;0.0;0;-;29.1;66.4;0.5;461.0;982.0;0;26.8
15:1;0.0;0;-;29.1;66.4;0.5;488.4;981.9;0;35.0
15:16;0.0;0;-;28.3;69.0;0.5;431.2;981.9;0;29.5
15:18;0.0;0;-;28.4;68.8;0.5;416.4;981.9;0;31.3
15:20;0.0;0;-;28.6;68.5;0.5;416.4;981.9;0;27.7
15:22;0.0;0;-;28.7;68.1;0.5;426.3;981.8;0;27.1
15:24;0.0;0;-;28.8;67.8;0.5;426.3;981.8;0;27.7
15:26;0.0;0;-;28.9;67.6;0.5;436.1;981.7;0;31.9
15:28;0.0;0;-;28.9;67.5;0.5;431.2;981.6;0;32.0
15:30;0.0;0;-;29.0;67.3;0.5;431.2;981.6;0;43.5
15:32;0.0;0;-;29.0;67.2;0.5;431.2;981.5;0;41.1
15:34;0.0;0;-;29.1;67.1;0.5;446.1;981.5;0;43.1
15:36;0.0;0;-;29.1;67.0;0.5;451.1;981.5;0;46.7
15:38;0.0;0;-;29.1;66.8;0.5;451.1;981.5;0;39.2
13:24;0.0;0;-;24.8;64.8;0.5;362.3;984.8;1;29.4
13:26;0.0;0;-;24.8;70.0;0.5;382.2;984.8;1;50.9
13:28;0.0;0.406009;-;25.1;71.2;0.5;373.6;984.8;0;27.7
13:30;0.0;0.406009;-;25.4;73.7;0.5;382.2;984.7;0;27.4
13:32;0.0;0;-;25.6;73.7;0.5;376.4;984.7;0;26.7
13:34;0.0;0;-;25.8;74.6;0.5;367.9;984.6;0;27.8
13:36;0.0;0;-;26.0;74.2;0.5;376.4;984.6;0;27.5
13:38;0.0;0;-;26.2;73.3;0.5;373.6;984.6;0;27.5
13:40;0.0;0;-;26.3;72.2;0.5;370.7;984.6;0;26.8
13:42;0.0;0;-;26.5;71.6;0.5;382.2;984.5;0;27.3
13:44;0.0;0;-;26.6;70.8;0.5;382.2;984.5;0;27.4
13:46;0.0;0;-;26.7;70.2;0.5;367.9;984.5;0;28.5
13:48;0.0;0;-;26.8;69.8;0.5;379.3;984.5;0;27.8
13:50;0.0;0;-;26.9;69.3;0.5;382.2;984.3;0;26.8
13:52;0.0;0;-;26.9;68.9;0.5;376.4;984.3;0;27.7
13:54;0.0;0;-;27.0;68.6;0.5;370.7;984.3;0;27.1
13:56;0.0;0;-;27.1;68.4;0.5;373.6;984.2;0;30.3
13:58;0.0;0;-;27.2;68.1;0.5;382.2;984.3;0;27.0
14:0;0.0;0;-;27.2;67.8;0.5;373.6;984.2;0;28.0
14:2;0.0;0;-;27.3;67.7;0.5;370.7;984.2;0;26.4
14:4;0.0;0;-;27.3;67.5;0.5;385.1;984.2;0;27.0
14:6;0.0;0;-;27.4;67.3;0.5;382.2;984.2;0;27.0
14:8;0.0;0;-;27.4;67.2;0.5;388.0;984.1;0;27.9
14:10;0.0;0;-;27.5;67.1;0.5;382.2;984.1;0;28.3
14:12;0.0;0;-;27.5;67.1;0.5;382.2;984.0;0;26.5
14:14;0.0;0;-;27.5;66.9;0.5;382.2;984.0;0;27.2
14:16;0.0;0;-;27.6;66.9;0.5;388.0;983.9;0;27.9
14:18;0.0;0;-;27.6;66.8;0.5;379.3;983.9;0;27.7
14:20;0.0;0;-;27.7;66.8;0.5;385.1;984.0;0;26.6
14:22;0.0;0;-;27.7;66.6;0.5;396.9;984.0;0;26.8
14:24;0.0;0;-;27.7;66.6;0.5;376.4;983.9;0;31.4
14:26;0.0;0;-;27.7;66.5;0.5;390.9;983.9;0;32.2
14:28;0.0;0;-;27.8;66.5;0.5;396.9;983.9;0;32.6
14:30;0.0;0;-;27.8;66.5;0.5;396.9;983.9;0;28.0
14:32;0.0;0;-;27.9;66.7;0.5;402.8;983.8;0;28.3
14:34;0.0;0;-;27.9;66.6;0.5;399.8;983.8;0;43.6
14:36;0.0;0;-;28.0;66.9;0.5;411.9;983.8;0;28.3
14:38;0.0;0;-;28.0;68.9;0.5;418.1;983.8;0;27.5
14:40;0.0;1.624036;O;28.1;71.8;0.5;405.9;983.8;0;29.9
14:42;0.0;1.624036;O;28.2;73.0;0.5;408.9;983.8;0;27.1
